Date,Part,Price,Description,URL
2021-02-14 16:33:53,rtx3070,847.29,Gigabyte AORUS GeForce RTX 3070 Master 8GB Grafikkarte,https://www.amazon.de/_itm/dp/B08LNY8P5L?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-14 14:11:49,rtx3070,820.90,Gigabyte Carte Graphique GeForce RTX 3070 Gaming OC 8 Go,https://www.amazon.fr/_itm/dp/B08KHL21CV?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-14 09:18:30,rtx3070,763.73,GeForce RTX 3070 Ventus 2X OC,https://www.amazon.fr/_itm/dp/B08LNQTSCT?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-13 17:04:21,rtx3070,619.90,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC,https://www.amazon.de/_itm/dp/B08LBVNKT1?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-13 02:22:58,rtx3060ti,486.40,EVGA GeForce RTX 3060 Ti FTW Ultra Gaming. 08G-P5-3667-KR. 8GB GDDR6. iCX3 Kühlung. ARGB LED,https://www.amazon.de/_itm/dp/B08P2H5LW2?tag=partalertde-21&linkCode=ogi&th=1&psc=1&smid=A3JWKAKR8XB7XF
2021-02-12 21:05:06,rtx3070,559.00,Palit GeForce RTX 3070 GamingPro 8GB GDDR6 Ray-Tracing Graphics Card. 5888 Core. 1500MHz GPU. 1725 B,https://www.amazon.co.uk/_itm/dp/B08LDS72P2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-12 18:31:43,rtx3070,738.18,ASUS Dual GeForce RTX 3070 8 GB OC Edition Gaming Scheda grafica (GDDR6. PCIe 4.0. 2x HDMI 2.1. 3x D,https://www.amazon.it/_itm/dp/B08KHFZN9P?tag=partalertit-21&linkCode=ogi&th=1&psc=1&smid=A11IL2PNWYJU7H
2021-02-12 14:47:58,rtx3070,560.00,ASUS Dual NVIDIA GeForce RTX 3070 OC Edition Gaming Graphics Card (PCIe 4.0. 8GB GDDR6 memory. HDMI ,https://www.amazon.co.uk/_itm/dp/B08KHFZN9P?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-12 12:46:41,rx6800xt,717.00,GIGABYTE Radeon RX 6800 XT 16G Graphics Card. 16GB 256-bit GDDR6. GV-R68XT-16GC-B Video Card,https://www.amazon.co.uk/_itm/dp/B08NS4W2ZY?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-12 11:25:49,rtx3070,599.00,Palit GeForce RTX 3070 GamingPro OC 8GB GDDR6 Ray-Tracing Graphics Card. 5888 Core. 1500MHz GPU. 177,https://www.amazon.co.uk/_itm/dp/B08LDT6HQ5?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-12 02:01:04,rtx3060ti,503.88,ZOTAC GAMING GeForce RTX 3060 Ti Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Car,https://www.amazon.co.uk/_itm/dp/B08P3V572B?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-11 21:56:15,rtx3060ti,571.99,Tarjeta gráfica ZOTAC Gaming GEFORCE RTX 3060 Ti Twin Edge OC 8GB GDDR6,https://www.amazon.es/_itm/dp/B08P3BJ9Y8?tag=partalertes-21&linkCode=ogi&th=1&psc=1&smid=A1AT7YVPFBWXBL
2021-02-11 21:55:13,rtx3060ti,570.56,Zotac Gaming GeForce RTX 3060 Ti Twin Edge OC. ZT-A30610H-10M,https://www.amazon.fr/_itm/dp/B08P3BJ9Y8?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
2021-02-11 16:42:51,rtx3070,606.98,ZOTAC GAMING GeForce RTX 3070 Twin Edge OC 8GB GDDR6 256-bit 14 Gbps PCIE 4.0 Gaming Graphics Card. ,https://www.amazon.co.uk/_itm/dp/B08LF1CWT2?tag=partalert-21&linkCode=ogi&th=1&psc=1&smid=A3P5ROKL5A1OLE
2021-02-11 16:01:03,rtx3060ti,541.22,Zotac Gaming GeForce RTX 3060 Ti Twin Edge. ZT-A30610E-10M,https://www.amazon.fr/_itm/dp/B08P34VCVN?tag=partalertfr-21&linkCode=ogi&th=1&psc=1&smid=A1X6FK5RDHNB96
